point_id,x,y,z,r,g,b,n_obs,mean_reproj_error
27,0.03166755031085439,0.09932410605161332,0.014122712624940673,177,170,164,12,0.43386379683091575
28,0.016149470755840837,0.038424561416968296,0.022522459022785286,144,135,124,9,0.8354722486947546
29,0.027073943732827024,0.06344230361788707,0.031171263285704808,225,214,204,15,0.5914881192074416
30,0.02432083046930098,0.0853045662702137,0.0002905389280796134,64,64,59,5,0.5478994271235326
31,0.03722491514034992,0.048262245620803466,0.008614489582680393,42,41,35,5,0.52613319845608
32,0.032510830094481184,0.042246309115663065,0.050660321805503374,167,156,150,13,0.35117807457337197
33,0.03699065423749483,0.04821595792567643,0.012569047345869637,74,69,60,7,1.0833554736652118
34,0.027809104883053402,0.04191729329624888,0.04508841743772794,136,128,117,3,0.49844050193866424
35,-0.00962127757876042,0.03209817835332692,-0.010718088423814552,29,28,25,2,0.380888973062275
36,0.041391292922901814,0.1028844071142614,0.01875635414787327,108,107,86,2,0.41905969755593686
37,0.005194124962516034,0.07602282670728822,-0.003266121310425648,170,171,156,10,0.3260530386760303
